Customer_ID,Arrival_Time,Transaction_Type,Priority,Teller_ID,Teller_Specialization,Teller_Efficiency,Service_Time,Wait_Time,Queue_Length_At_Arrival
C00001,2025-11-29 09:04:00,Deposit,Regular,T05,General,0.92,5,0,0
C00002,2025-11-29 09:07:00,Deposit,Regular,T01,General,0.95,5,0,1
C00003,2025-11-29 09:09:00,Deposit,Regular,T01,General,0.95,6,3,1
C00004,2025-11-29 09:10:00,Deposit,Regular,T03,General,0.9,4,0,1
C00005,2025-11-29 09:13:00,Withdrawal,Regular,T02,Accounts,0.85,4,0,2
C00006,2025-11-29 09:16:00,Deposit,Senior,T01,General,0.95,4,2,2
C00007,2025-11-29 09:20:00,Deposit,Regular,T02,Accounts,0.85,5,0,1
C00008,2025-11-29 09:23:00,Deposit,Senior,T05,General,0.92,3,0,1
C00009,2025-11-29 09:24:00,New Account,Regular,T01,General,0.95,33,0,2
C00010,2025-11-29 09:26:00,Withdrawal,Regular,T05,General,0.92,4,0,1
C00011,2025-11-29 09:30:00,Deposit,Regular,T05,General,0.92,4,0,1
C00012,2025-11-29 09:34:00,Withdrawal,Regular,T05,General,0.92,4,0,1
C00013,2025-11-29 09:39:00,Deposit,Regular,T01,General,0.95,5,18,1
C00014,2025-11-29 09:43:00,Deposit,Regular,T05,General,0.92,4,0,1
C00015,2025-11-29 09:46:00,Deposit,Regular,T03,General,0.9,3,0,2
C00016,2025-11-29 09:49:00,Deposit,Senior,T01,General,0.95,5,13,1
C00017,2025-11-29 09:49:00,Withdrawal,Regular,T01,General,0.95,4,18,1
C00018,2025-11-29 09:50:00,Deposit,Regular,T01,General,0.95,6,21,1
C00019,2025-11-29 09:54:00,Withdrawal,Regular,T01,General,0.95,3,23,1
C00020,2025-11-29 09:56:00,Deposit,Regular,T02,Accounts,0.85,6,0,1
C00021,2025-11-29 10:00:00,Deposit,Regular,T05,General,0.92,5,0,2
C00022,2025-11-29 10:04:00,Loan Inquiry,VIP,T01,General,0.95,20,16,2
C00023,2025-11-29 10:13:00,Withdrawal,Regular,T05,General,0.92,4,0,1
C00024,2025-11-29 10:15:00,New Account,Regular,T02,Accounts,0.85,32,0,2
C00025,2025-11-29 10:18:00,Withdrawal,Regular,T05,General,0.92,3,0,2
C00026,2025-11-29 10:22:00,Deposit,Senior,T05,General,0.92,5,0,2
C00027,2025-11-29 10:27:00,Utility Payment,Regular,T05,General,0.92,7,0,2
C00028,2025-11-29 10:32:00,Withdrawal,Regular,T05,General,0.92,3,2,3
C00029,2025-11-29 10:35:00,Withdrawal,Regular,T03,General,0.9,3,0,3
C00030,2025-11-29 10:36:00,Deposit,Regular,T01,General,0.95,3,4,4
C00031,2025-11-29 10:37:00,Deposit,Regular,T03,General,0.9,4,1,3
C00032,2025-11-29 10:38:00,Deposit,Regular,T05,General,0.92,5,0,3
C00033,2025-11-29 10:43:00,Withdrawal,Regular,T03,General,0.9,3,0,1
C00034,2025-11-29 10:45:00,Withdrawal,Regular,T01,General,0.95,3,0,2
C00035,2025-11-29 10:46:00,New Account,Senior,T02,Accounts,0.85,27,1,2
C00036,2025-11-29 10:49:00,New Account,Regular,T05,General,0.92,34,0,1
C00037,2025-11-29 10:50:00,Utility Payment,Regular,T03,General,0.9,8,0,2
C00038,2025-11-29 10:51:00,Utility Payment,Regular,T03,General,0.9,8,7,3
C00039,2025-11-29 11:00:00,Withdrawal,Regular,T01,General,0.95,4,0,3
C00040,2025-11-29 11:03:00,Deposit,Regular,T01,General,0.95,4,1,4
C00041,2025-11-29 11:07:00,Withdrawal,Senior,T03,General,0.9,3,0,3
C00042,2025-11-29 11:12:00,Deposit,Regular,T01,General,0.95,5,0,2
C00043,2025-11-29 11:17:00,Withdrawal,Regular,T01,General,0.95,2,0,1
C00044,2025-11-29 11:19:00,Utility Payment,Regular,T03,General,0.9,7,0,1
C00045,2025-11-29 11:20:00,Withdrawal,Senior,T01,General,0.95,3,0,2
C00046,2025-11-29 11:22:00,New Account,Senior,T03,General,0.9,31,4,3
C00047,2025-11-29 11:27:00,Deposit,Regular,T03,General,0.9,3,30,1
C00048,2025-11-29 11:31:00,Withdrawal,Regular,T05,General,0.92,4,0,1
C00049,2025-11-29 11:33:00,Withdrawal,Regular,T03,General,0.9,6,27,2
C00050,2025-11-29 11:36:00,Deposit,Regular,T01,General,0.95,5,0,1
C00051,2025-11-29 11:40:00,Utility Payment,Regular,T05,General,0.92,8,0,2
C00052,2025-11-29 11:43:00,New Account,Senior,T04,Loans,0.8,30,0,2
C00053,2025-11-29 11:44:00,Deposit,Regular,T05,General,0.92,4,4,3
C00054,2025-11-29 11:48:00,Loan Inquiry,Regular,T01,General,0.95,13,0,3
C00055,2025-11-29 11:49:00,New Account,Regular,T05,General,0.92,32,3,4
C00056,2025-11-29 11:51:00,Deposit,Regular,T01,General,0.95,4,10,4
C00057,2025-11-29 11:53:00,Deposit,Regular,T05,General,0.92,5,31,4
C00058,2025-11-29 11:54:00,Withdrawal,Regular,T03,General,0.9,3,12,4
C00059,2025-11-29 11:58:00,Withdrawal,Regular,T05,General,0.92,4,31,4
C00060,2025-11-29 12:03:00,Withdrawal,Regular,T03,General,0.9,4,6,4
C00061,2025-11-29 12:07:00,New Account,Regular,T02,Accounts,0.85,26,0,3
C00062,2025-11-29 12:10:00,Withdrawal,Regular,T05,General,0.92,4,23,4
C00063,2025-11-29 12:15:00,Deposit,Regular,T01,General,0.95,4,0,2
C00064,2025-11-29 12:17:00,Deposit,Regular,T01,General,0.95,4,2,3
C00065,2025-11-29 12:18:00,Deposit,Regular,T02,Accounts,0.85,6,15,3
C00066,2025-11-29 12:20:00,New Account,VIP,T03,General,0.9,31,0,3
C00067,2025-11-29 12:22:00,Deposit,Regular,T01,General,0.95,4,1,4
C00068,2025-11-29 12:24:00,Withdrawal,Regular,T01,General,0.95,2,3,4
C00069,2025-11-29 12:25:00,Withdrawal,Regular,T01,General,0.95,3,4,4
C00070,2025-11-29 12:28:00,Withdrawal,Regular,T03,General,0.9,6,23,4
C00071,2025-11-29 12:29:00,Deposit,VIP,T03,General,0.9,4,28,4
C00072,2025-11-29 12:32:00,Utility Payment,VIP,T04,Loans,0.8,6,0,3
C00073,2025-11-29 12:33:00,Utility Payment,Regular,T05,General,0.92,9,4,4
C00074,2025-11-29 12:35:00,Deposit,Regular,T03,General,0.9,7,26,4
C00075,2025-11-29 12:37:00,Withdrawal,Regular,T01,General,0.95,3,0,4
C00076,2025-11-29 12:41:00,Withdrawal,Regular,T03,General,0.9,3,27,2
C00077,2025-11-29 12:45:00,Utility Payment,Regular,T03,General,0.9,7,26,2
C00078,2025-11-29 12:47:00,Loan Inquiry,Regular,T03,General,0.9,26,31,1
C00079,2025-11-29 12:51:00,Withdrawal,Regular,T05,General,0.92,4,0,1
C00080,2025-11-29 12:56:00,Withdrawal,Regular,T03,General,0.9,3,48,1
C00081,2025-11-29 13:01:00,Deposit,VIP,T05,General,0.92,7,0,1
C00082,2025-11-29 13:04:00,Loan Inquiry,Regular,T01,General,0.95,20,0,2
C00083,2025-11-29 13:09:00,Deposit,Regular,T05,General,0.92,5,0,2
C00084,2025-11-29 13:12:00,Deposit,VIP,T02,Accounts,0.85,6,0,3
C00085,2025-11-29 13:16:00,Withdrawal,Senior,T05,General,0.92,5,0,3
C00086,2025-11-29 13:17:00,Deposit,Regular,T05,General,0.92,4,4,4
C00087,2025-11-29 13:20:00,Withdrawal,VIP,T02,Accounts,0.85,4,0,3
